HUD frame time nsec:,13999000

Range Index,Elapsed Time, First Event,Last Event
0,24192,6,6
1,5312,38,38
2,4416,62,62
3,4416,86,86
4,4384,110,110
5,3776,134,134
6,3520,158,158
7,3552,182,182
8,3488,206,206
9,6112,230,230
10,4352,254,254
11,6400,278,278
12,4544,302,302
13,4288,326,326
14,4320,350,350
15,4320,374,374
16,4288,398,398
17,4320,422,422
18,4288,446,446
19,4320,470,470
20,5088,494,494
21,4160,518,518
22,5792,542,542
23,5600,566,566
24,6336,590,590
25,5760,614,614
26,5536,638,638
27,5312,662,662
28,5952,686,686
29,5376,710,710
30,5344,734,734
31,5312,758,758
32,4992,782,782
33,223552,806,806
34,5024,830,830
35,4800,854,854
36,8320,878,878
37,9664,902,902
38,9920,926,926
39,15712,950,950
40,17440,974,974
41,10784,998,998
42,9504,1022,1022
43,8576,1046,1046
44,21984,1070,1070
45,4160,1094,1094
46,5536,1118,1118
47,3776,1142,1142
48,3808,1166,1166
49,3776,1190,1190
50,6176,1214,1214
51,5248,1238,1238
52,5376,1262,1262
53,3744,1286,1286
54,3776,1310,1310
55,4608,1334,1334
56,7840,1358,1358
57,5632,1382,1382
58,5696,1406,1406
59,3648,1430,1430
60,3392,1454,1454
61,3392,1478,1478
62,3392,1502,1502
63,5888,1526,1526
64,5600,1550,1550
65,5568,1574,1574
66,5568,1598,1598
67,4736,1622,1622
68,4640,1646,1646
69,4640,1670,1670
70,6048,1694,1694
71,5856,1718,1718
72,7232,1742,1742
73,7680,1766,1766
74,5888,1790,1790
75,5920,1814,1814
76,5824,1838,1838
77,5952,1862,1862
78,5888,1886,1886
79,5888,1910,1910
80,5984,1934,1934
81,5664,1958,1958
82,12512,1982,1982
83,195680,2006,2006
84,127296,2030,2030
85,2499712,2031,2031
